lat,lon,ele,time,segment_distance_km,distance_km_cum,segment_time_s,elev_delta_m,elev_gain_pos_m,elev_gain_pos_cum_m,slope_percent
3.4215153381228447,-76.53843836858869,962.93,2025-04-08 17:58:38+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4217154141515493,-76.53838723897934,963.07,2025-04-08 17:58:38.007000+00:00,0.022842,0.022842,0.01,0.14,0.14,0.14,0.61
3.4219335950911045,-76.53834155760705,963.21,2025-04-08 17:58:38.021000+00:00,0.024654,0.047496,0.01,0.14,0.14,0.28,0.57
3.4221471659839153,-76.5382957085967,963.46,2025-04-08 17:58:38.042000+00:00,0.02416,0.071656,0.02,0.25,0.25,0.53,1.03
3.4224495012313128,-76.5382201038301,963.95,2025-04-08 17:58:38.074000+00:00,0.034471,0.106127,0.03,0.49,0.49,1.02,1.42
3.4227546863257885,-76.53817190788686,964.3,2025-04-08 17:58:38.116000+00:00,0.034169,0.140296,0.04,0.35,0.35,1.37,1.02
3.4229720290750265,-76.53815858066082,964.53,2025-04-08 17:58:38.165000+00:00,0.024079,0.164375,0.05,0.23,0.23,1.6,0.96
3.423189288005233,-76.53814525343478,964.59,2025-04-08 17:58:38.222000+00:00,0.02407,0.188445,0.06,0.06,0.06,1.66,0.25
3.4234104864299297,-76.53813167475164,964.7,2025-04-08 17:58:38.286000+00:00,0.024506,0.212951,0.06,0.11,0.11,1.77,0.45
3.4236375521868467,-76.5381196886301,964.97,2025-04-08 17:58:38.357000+00:00,0.025144,0.238095,0.07,0.27,0.27,2.04,1.07
3.4238912723958492,-76.53808515518904,965.23,2025-04-08 17:58:38.437000+00:00,0.028317,0.266412,0.08,0.26,0.26,2.3,0.92
3.42414490878582,-76.53805062174797,965.21,2025-04-08 17:58:38.525000+00:00,0.028308,0.29472,0.09,-0.02,0.0,2.3,-0.07
3.424398545175791,-76.5380160883069,964.74,2025-04-08 17:58:38.622000+00:00,0.028308,0.323028,0.1,-0.47,0.0,2.3,-1.66
3.4246580488979816,-76.53798080049455,964.27,2025-04-08 17:58:38.728000+00:00,0.028962,0.35199,0.11,-0.47,0.0,2.3,-1.62
3.4248924907296896,-76.53791014105082,964.1,2025-04-08 17:58:38.842000+00:00,0.027087,0.379077,0.11,-0.17,0.0,2.3,-0.63
3.425126848742366,-76.53783948160708,964.05,2025-04-08 17:58:38.964000+00:00,0.027078,0.406156,0.12,-0.05,0.0,2.3,-0.18
3.4253649786114693,-76.53776773251593,964.02,2025-04-08 17:58:39.094000+00:00,0.027513,0.433668,0.13,-0.03,0.0,2.3,-0.11
3.425517361611128,-76.53773420490324,964.06,2025-04-08 17:58:39.229000+00:00,0.017257,0.450925,0.14,0.04,0.04,2.34,0.23
3.4256534837186337,-76.53769288212061,964.03,2025-04-08 17:58:39.369000+00:00,0.015737,0.466662,0.14,-0.03,0.0,2.34,-0.19
3.4258145838975906,-76.53763236477971,963.94,2025-04-08 17:58:39.515000+00:00,0.019041,0.485704,0.15,-0.09,0.0,2.34,-0.47
3.4259996563196182,-76.53755810111761,963.82,2025-04-08 17:58:39.667000+00:00,0.022066,0.50777,0.15,-0.12,0.0,2.34,-0.54
3.426163187250495,-76.53748526237905,963.74,2025-04-08 17:58:39.825000+00:00,0.019812,0.527581,0.16,-0.08,0.0,2.34,-0.4
3.426278354600072,-76.53743186965585,963.72,2025-04-08 17:58:39.987000+00:00,0.014049,0.541631,0.16,-0.02,0.0,2.34,-0.14
3.4263358544558287,-76.53740697540343,963.71,2025-04-08 17:58:40.152000+00:00,0.006934,0.548565,0.17,-0.01,0.0,2.34,-0.14
3.42638673260808,-76.53738467954099,963.73,2025-04-08 17:58:40.318000+00:00,0.006147,0.554712,0.17,0.02,0.02,2.36,0.33
3.426559818908572,-76.53732349164784,963.84,2025-04-08 17:58:40.491000+00:00,0.020311,0.575023,0.17,0.11,0.11,2.47,0.54
3.4267347492277622,-76.53726171702147,963.97,2025-04-08 17:58:40.670000+00:00,0.020525,0.595549,0.18,0.13,0.13,2.6,0.63
3.426941614598036,-76.53720078058541,964.16,2025-04-08 17:58:40.856000+00:00,0.023856,0.619405,0.19,0.19,0.19,2.79,0.8
3.427084945142269,-76.5371460467577,964.3,2025-04-08 17:58:41.047000+00:00,0.016976,0.636381,0.19,0.14,0.14,2.93,0.82
3.4273528307676315,-76.53706314973533,964.37,2025-04-08 17:58:41.247000+00:00,0.031022,0.667403,0.2,0.07,0.07,3.0,0.23
3.427620632573962,-76.536980336532,964.38,2025-04-08 17:58:41.457000+00:00,0.03101,0.698413,0.21,0.01,0.01,3.01,0.03
3.4278885181993246,-76.53689752332866,964.39,2025-04-08 17:58:41.676000+00:00,0.031019,0.729431,0.22,0.01,0.01,3.02,0.03
3.42816193588078,-76.53681294992566,964.33,2025-04-08 17:58:41.904000+00:00,0.031661,0.761092,0.23,-0.06,0.0,3.02,-0.19
3.428430911153555,-76.53673181310296,964.32,2025-04-08 17:58:42.142000+00:00,0.031079,0.792172,0.24,-0.01,0.0,3.02,-0.03
3.4286998864263296,-76.53665059246123,964.43,2025-04-08 17:58:42.389000+00:00,0.031082,0.823254,0.25,0.11,0.11,3.13,0.35
3.4289688616991043,-76.53656945563853,964.77,2025-04-08 17:58:42.645000+00:00,0.031079,0.854333,0.26,0.34,0.34,3.47,1.09
3.429237836971879,-76.53648831881583,965.07,2025-04-08 17:58:42.911000+00:00,0.031079,0.885412,0.27,0.3,0.3,3.77,0.97
3.4295139368623495,-76.53640491887927,965.24,2025-04-08 17:58:43.186000+00:00,0.031906,0.917319,0.28,0.17,0.17,3.94,0.53
3.429727926850319,-76.53634096495807,965.37,2025-04-08 17:58:43.469000+00:00,0.024707,0.942025,0.28,0.13,0.13,4.07,0.53
3.42994493432343,-76.53627592138946,965.64,2025-04-08 17:58:43.759000+00:00,0.025061,0.967087,0.29,0.27,0.27,4.34,1.08
3.4302219562232494,-76.5361909288913,965.85,2025-04-08 17:58:44.059000+00:00,0.032055,0.999142,0.3,0.21,0.21,4.55,0.66
3.4303323458880186,-76.5361602511257,965.99,2025-04-08 17:58:44.363000+00:00,0.012674,1.011816,0.3,0.14,0.14,4.69,1.1
3.430462097749114,-76.53612429276109,966.09,2025-04-08 17:58:44.671000+00:00,0.014894,1.02671,0.31,0.1,0.1,4.79,0.67
3.4307022392749786,-76.53605757281184,966.25,2025-04-08 17:58:44.987000+00:00,0.02757,1.05428,0.32,0.16,0.16,4.95,0.58
3.4309423808008432,-76.53599093668163,966.47,2025-04-08 17:58:45.312000+00:00,0.027568,1.081847,0.33,0.22,0.22,5.17,0.8
3.431187719106674,-76.53592279180884,966.69,2025-04-08 17:58:45.645000+00:00,0.028166,1.110013,0.33,0.22,0.22,5.39,0.78
3.4312073327600956,-76.53594265691936,966.84,2025-04-08 17:58:45.979000+00:00,0.003095,1.113108,0.33,0.15,0.15,5.54,4.85
3.4313002042472363,-76.53620777651668,966.94,2025-04-08 17:58:46.322000+00:00,0.031199,1.144307,0.34,0.1,0.1,5.64,0.32
3.431393075734377,-76.53647281229496,966.98,2025-04-08 17:58:46.675000+00:00,0.03119,1.175497,0.35,0.04,0.04,5.68,0.13
3.4314859472215176,-76.53673793189228,967.14,2025-04-08 17:58:47.037000+00:00,0.031199,1.206696,0.36,0.16,0.16,5.84,0.51
3.4315787348896265,-76.53700305148959,967.24,2025-04-08 17:58:47.408000+00:00,0.031196,1.237892,0.37,0.1,0.1,5.94,0.32
3.431671606376767,-76.53726800344884,967.12,2025-04-08 17:58:47.789000+00:00,0.031181,1.269073,0.38,-0.12,0.0,5.94,-0.38
3.431744361296296,-76.53748702257872,967.35,2025-04-08 17:58:48.177000+00:00,0.025633,1.294706,0.39,0.23,0.23,6.17,0.9
3.431749641895294,-76.5374999307096,967.52,2025-04-08 17:58:48.566000+00:00,0.001549,1.296255,0.39,0.17,0.17,6.34,10.98
3.431773530319333,-76.5375065524131,967.73,2025-04-08 17:58:48.956000+00:00,0.002742,1.298997,0.39,0.21,0.21,6.55,7.66
3.431799514219165,-76.53750437311828,967.97,2025-04-08 17:58:49.347000+00:00,0.002883,1.301881,0.39,0.24,0.24,6.79,8.32
3.4319114964455366,-76.53749699704349,968.31,2025-04-08 17:58:49.741000+00:00,0.01241,1.314291,0.39,0.34,0.34,7.13,2.74
3.4321862552314997,-76.53748677112162,968.8,2025-04-08 17:58:50.144000+00:00,0.030404,1.344694,0.4,0.49,0.49,7.62,1.61
3.4324642829596996,-76.53747646138072,969.22,2025-04-08 17:58:50.557000+00:00,0.030765,1.375459,0.41,0.42,0.42,8.04,1.37
3.432735186070204,-76.53747880831361,969.63,2025-04-08 17:58:50.979000+00:00,0.029957,1.405416,0.42,0.41,0.41,8.45,1.37
3.4330158960074186,-76.53747755102813,970.11,2025-04-08 17:58:51.410000+00:00,0.031041,1.436457,0.43,0.48,0.48,8.93,1.55
3.43321337364614,-76.53747134841979,970.49,2025-04-08 17:58:51.847000+00:00,0.021848,1.458305,0.44,0.38,0.38,9.31,1.74
3.4334832709282637,-76.53745827265084,970.78,2025-04-08 17:58:52.293000+00:00,0.02988,1.488185,0.45,0.29,0.29,9.6,0.97
3.4337586164474487,-76.53744896873832,971.02,2025-04-08 17:58:52.749000+00:00,0.030465,1.51865,0.46,0.24,0.24,9.84,0.79
3.4339619614183903,-76.53744058683515,971.31,2025-04-08 17:58:53.211000+00:00,0.022505,1.541154,0.46,0.29,0.29,10.13,1.29
3.4342681523412466,-76.53741988353431,971.75,2025-04-08 17:58:53.684000+00:00,0.033936,1.575091,0.47,0.44,0.44,10.57,1.3
